,0
input,global_evolution.xlsx
outdir,se_results_zerooffset_schakel2011
snapshot_index,24
snapshot_Time_s,5769.2
snapshot_Porosity,0.75115
snapshot_Amax,0.7123521041321571
T0_us,67.11560552140244
waveform_mode,schakel2011_sommerfeld_zerooffset
offset_D_m,0.0
pre_T0_max_abs,0.15505070719829264
post_T0_max_abs,0.7123521041321571
noninterface_pre_to_post_abs_ratio,0.21766020806127542
noninterface_pre_T0_max_time_before_T0_us,0.39333696427150283
noninterface_main_peak_after_T0,True
interface_receiver_value_policy,z=0 row is plot-only linear interpolation between nearest fluid and porous receivers
quantitative_peak_statistics_exclude_interface,True
RE_peak_distance_from_interface_mm,0.9999999999999836
TE_peak_distance_from_interface_mm,1.0000000000000182
schakel_n_frequencies,192
schakel_n_theta,48
peak_schakel_n_frequencies,96
peak_schakel_n_theta,32
schakel_bandpass_low_hz,1.0
schakel_bandpass_high_hz,1250000.0
schakel_gamma_max,8.0
plot_time_min_us,0
plot_time_max_us,160
source_mode,causal_ricker
include_porous_pf_coseismic,False
convergence_levels_Nomega_Ntheta,"48,96,192"
convergence_diagnostics_written,True
interface_em_polarity_pairs_checked,4
interface_em_polarity_pairs_reversed,4
interface_em_mean_arrival_after_T0_us,4.143777297613391
porous_side_waveform_policy,front_interface_TM_term_from_JAP_Eq8; Pf coseismic optional; no back-interface slab multiples
